round,payload,prediction,result,confidence,internal_model_latency_ms,total_api_latency_ms
10,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7842999995991704,5.044300000008661
10,admin' --,1,SQL Injection,0.955691933631897,1.706900000499445,4.645299999538111
10,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.5866000003370573,4.651700000067649
10,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.678600000559527,4.974000000402157
10,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.8635000005815527,5.05189999967115
10,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.6817000005175942,4.735800000162271
10,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.7041000000972417,4.918399999951362
11,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.664300000811636,4.8894000001382665
11,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7165999997814652,5.015699999603385
11,admin' --,1,SQL Injection,0.955691933631897,1.6104999995150138,4.65020000046934
11,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.7218000002685585,5.166799999642535
11,SELECT * FROM products WHERE id = 5,0,Benign,0.999338686466217,1.8164000002798275,4.951899999468878
11,"SELECT name, price FROM products",0,Benign,0.9998451471328735,1.677400000517082,4.712699999799952
11,UPDATE users SET name = 'John' WHERE id = 1,0,Benign,0.9938217997550964,1.7852000000857515,5.263099999865517
11,"INSERT INTO orders VALUES (1, 2, 50000)",0,Benign,0.9507285356521606,1.8935999996756436,5.074699999568111
12,' OR 1=1--,1,SQL Injection,0.9630976915359497,1.6054999996413244,4.789999999957217
12,"' UNION SELECT username, password FROM users--",0,Benign,0.9974633455276489,1.7410000000381842,4.899999999906868
12,admin' --,1,SQL Injection,0.955691933631897,1.6594999997323612,4.797599999619706
12,' OR 'a'='a,1,SQL Injection,0.9630976915359497,1.7422000000806293,4.935800000566815
